name,rating,vicinity
勝博殿 站前店,4.1,中正區忠孝西路一段66號12樓
台北福華大飯店The Howard Plaza Hotel Taipei,4.2,大安區仁愛路三段160號
石二鍋_台北民權龍江店,4.0,中山區民權東路三段19號
台北國賓大飯店,4.2,中山區中山北路二段63號
好市多Costco 內湖店,4.2,內湖區舊宗路一段268號
君品酒店,4.3,大同區承德路一段3號
小公寓Apt.cafe,4.3,"2樓, No. 56號, 指南路二段, 文山區"
麻膳堂 MAZENDO 光復店,3.4,大安區光復南路280巷24號
賣麵炎仔(金泉小吃店),4.2,大同區安西街106號
21風味館 21PLUS內湖大潤發門市,3.9,內湖區舊宗路一段188號
品格子旅店北車館,3.7,"10f, No. 13號, 公園路, 中正區"
國立政治大學,4.4,文山區指南路二段64號
中央研究院地球科學研究所,4.8,南港區研究院路二段128號
有幸福Cafe,3.9,"1樓, No. 21號, 美德街, 士林區"
艋舺青山宮,4.0,萬華區貴陽街二段218號
布克湖義式坊,4.2,內湖區文德路22巷44弄10號
上海極品軒餐廳(煉珍堂),4.0,中正區衡陽路18號
洛碁大飯店新仕界New World Hotelグリーンワールド新仕界,3.5,萬華區昆明街141號
阿里郎村落,4.0,士林區福華路149號
花博公園新生園區,4.2,中山區新生北路三段105號
上引水產,4.1,中山區民族東路410巷2弄18號
動物園站,4.2,文山區新光路二段8號
中華科技大學,3.9,南港區研究院路三段245號
Arty Burger 政大店,4.0,文山區指南路二段45巷10號
維多麗亞酒店,4.2,中山區敬業四路168號
社子,,
六丁目Cafe,4.6,松山區新中街6巷7號
Woolloomooloo,3.8,松山區富錦街95號
鍋董日式涮涮鍋石牌店,4.2,北投區實踐街41號
米塔義式廚房-政大店,4.3,文山區萬壽路2號
豐盛號-士林店,3.9,士林區中正路223巷4號1樓
三腳木,2.3,新北市深坑區
木柵,,
湘鼎坊,4.1,大安區基隆路二段184巷1號
御神四季食藝料理「創意私廚」「季節無菜單料理」,4.3,文山區木柵路三段48巷1弄9號
CaLACaLA義大利廚房內湖店,4.1,內湖區陽光街240號
彭園台北館｜婚宴場地 · 尾牙春酒 · 振興券優惠 · 年菜外帶,4.0,信義區忠孝東路五段297號5樓、6樓
椒房殿麻辣鴛鴦火鍋,4.3,中山區北安路640號
永富冰淇淋,4.3,萬華區貴陽街二段68號
温德德式烘焙餐館 (天母店),4.5,士林區德行西路5號
四分里坑,,
南港山縱走親山步道中華技術學院登山口,4.4,南港區研究院路三段245號
新北,,新北
新驛旅店台北車站一館,4.3,中正區懷寧街7號
上灣仔,,
馬旦馬須美麗餐桌,4.2,松山區敦化北路165巷9號
漁僮小舖,3.9,信義區和平東路三段261號
台北昰美精品飯店 Taipei Beautique Hotel,4.1,士林區天玉街38巷14號
晶璽商旅 (防疫旅館),3.6,信義區信義路四段468號
台北星美休閒飯店,4.1,士林區前港街38-1號
林安泰古厝,4.5,中山區濱江街5號
老爺會館台北南西,4.2,中山區南京西路1號8樓
美利達,3.8,南港區研究院路二段144號
大倉久和大飯店,4.2,中山區南京東路一段9號
Royal Host 樂雅樂餐廳 - 站前店,3.6,中正區許昌街19號
彩虹橋,4.3,松山區松河街180號
台北喜來登大飯店 十二廚 Kitchen 12,3.8,中正區忠孝東路一段12號1樓
夏慕尼新香榭鐵板燒台北中山北店,4.3,中山區中山北路二段44號
OGGI 歐奇窯烤披薩 天母店,4.2,士林區德行西路19號
中央研究院歷史語言研究所研究大樓檔案館,4.3,南港區研究院路二段130號
石二鍋 台北捷運後山埤店,3.9,信義區忠孝東路五段789號
Home Hotel,4.2,信義區松仁路90號
酌屋,4.4,內湖區金湖路51號
樂客商務旅館,3.8,中正區襄陽路8號5樓
台北晶華酒店- 栢麗廳 Brasserie,4.2,中山區中山北路二段39巷3號
青年公園,4.3,萬華區水源路199號
McDonald’s 麥當勞 台北動物園三店,3.9,文山區新光路二段30號
凡登台北商務旅店,3.1,大安區忠孝東路四段197號
亞都麗緻大飯店,4.4,中山區民權東路二段41號
台北寒舍艾美酒店 Le Méridien Taipei,4.3,信義區松仁路38號
台北美侖大飯店,4.2,大安區復興南路一段317號
台北寒舍艾美酒店探索廚房,4.0,信義區松仁路38號
SKYLARK和平公園店,3.7,"1樓, No. 90號, 懷寧街, 中正區"
小龍飲食,4.1,松山區光復南路13巷31號
北港甜湯,4.3,萬華區華西街41號(第59攤位)
伊薩姆日式料理,3.9,松山區光復北路150號
中央研究院,4.5,南港區研究院路二段128號
碧湖公園,4.4,內湖區內湖路二段175號
口口香小吃店,4.1,北投區振華街10號
台灣鹽酥雞,4.1,中山區北安路530號
三德大飯店,3.8,大同區承德路三段49號
TGI FRIDAYS 星期五美式餐廳 美麗華餐廳,4.2,中山區敬業三路22號2樓
臺北松山機場,4.4,松山區敦化北路340-9號
台北花園大酒店,4.1,中正區中華路二段1號
